freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.930e+02,9.016e+00,5.893e+00,2.079e+02
1.6,1.190e+02,1.731e+01,2.072e+01,1.570e+02
3.1,2.651e+01,1.688e+01,2.205e+01,6.544e+01
4.7,3.632e+02,2.207e+01,2.390e+01,4.092e+02
6.2,1.250e+03,2.728e+01,2.412e+01,1.302e+03
7.8,2.040e+03,4.521e+01,2.711e+01,2.112e+03
9.4,2.871e+03,6.744e+01,2.915e+01,2.968e+03
10.9,3.748e+03,9.885e+01,3.705e+01,3.884e+03
12.5,4.759e+03,1.471e+02,4.273e+01,4.949e+03
14.0,5.760e+03,1.844e+02,4.790e+01,5.992e+03
15.6,6.831e+03,2.148e+02,4.801e+01,7.094e+03
17.2,8.140e+03,1.963e+02,4.441e+01,8.381e+03
18.7,9.679e+03,1.472e+02,3.976e+01,9.866e+03
20.3,1.168e+04,1.170e+02,3.594e+01,1.183e+04
21.8,1.368e+04,7.479e+01,3.007e+01,1.378e+04
23.4,1.642e+04,5.078e+01,2.953e+01,1.650e+04
25.0,1.975e+04,1.143e+02,4.433e+01,1.991e+04
26.5,2.357e+04,2.321e+02,1.033e+02,2.390e+04
28.1,2.967e+04,2.685e+02,3.876e+02,3.033e+04
29.6,2.439e+04,2.808e+02,8.284e+02,2.550e+04
31.2,1.479e+04,1.599e+02,6.177e+02,1.557e+04
32.8,1.603e+04,1.104e+02,3.171e+02,1.645e+04
34.3,1.872e+04,1.413e+02,1.774e+02,1.904e+04
35.9,2.193e+04,1.751e+02,1.307e+02,2.223e+04
37.4,2.546e+04,2.154e+02,1.319e+02,2.581e+04
39.0,2.929e+04,4.877e+02,1.696e+02,2.995e+04
40.6,2.933e+04,7.337e+02,1.537e+02,3.022e+04
42.1,2.931e+04,6.870e+02,8.122e+01,3.008e+04
43.7,3.154e+04,5.473e+02,3.703e+01,3.213e+04
45.2,3.607e+04,3.370e+02,2.514e+01,3.643e+04
46.8,4.267e+04,2.491e+02,3.316e+01,4.295e+04
48.4,4.956e+04,7.919e+02,9.326e+01,5.045e+04
49.9,5.536e+04,1.863e+03,2.174e+02,5.744e+04
51.5,6.012e+04,2.647e+03,3.921e+02,6.316e+04
53.0,6.220e+04,3.670e+03,7.485e+02,6.661e+04
54.6,6.416e+04,6.299e+03,1.609e+03,7.206e+04
56.2,6.922e+04,1.179e+04,3.974e+03,8.498e+04
57.7,7.812e+04,1.689e+04,7.316e+03,1.023e+05
59.3,9.279e+04,1.369e+04,7.620e+03,1.141e+05
60.8,1.052e+05,6.505e+03,5.253e+03,1.169e+05
62.4,1.098e+05,3.052e+03,3.301e+03,1.162e+05
64.0,1.121e+05,1.632e+03,1.855e+03,1.155e+05
65.5,1.191e+05,9.745e+02,9.708e+02,1.210e+05
67.1,1.343e+05,8.334e+02,5.577e+02,1.357e+05
68.6,1.527e+05,6.908e+02,3.289e+02,1.538e+05
70.2,1.709e+05,4.819e+02,1.641e+02,1.716e+05
71.8,1.863e+05,4.705e+02,9.259e+01,1.868e+05
73.3,1.946e+05,4.758e+02,5.955e+01,1.951e+05
74.9,2.198e+05,5.204e+02,5.686e+01,2.203e+05
76.4,2.854e+05,6.070e+02,1.447e+02,2.861e+05
78.0,3.469e+05,6.720e+02,4.618e+02,3.480e+05
79.6,3.637e+05,1.099e+03,1.022e+03,3.658e+05
81.1,3.623e+05,3.042e+03,1.787e+03,3.671e+05
82.7,3.845e+05,7.518e+03,2.874e+03,3.949e+05
84.2,4.424e+05,1.258e+04,4.047e+03,4.591e+05
85.8,5.132e+05,1.536e+04,4.871e+03,5.335e+05
87.4,5.522e+05,1.552e+04,4.820e+03,5.725e+05
