freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.509e+00,3.212e+02,1.169e+01,3.374e+02
1.5,1.273e+01,1.964e+02,3.295e+01,2.421e+02
3.1,1.275e+01,2.590e+01,2.505e+01,6.371e+01
4.6,1.287e+01,3.338e+02,2.170e+01,3.683e+02
6.1,1.109e+01,1.242e+03,2.073e+01,1.274e+03
7.7,1.105e+01,2.114e+03,2.003e+01,2.146e+03
9.2,1.173e+01,3.165e+03,2.135e+01,3.198e+03
10.8,1.128e+01,4.458e+03,2.256e+01,4.492e+03
12.3,1.231e+01,6.518e+03,2.336e+01,6.554e+03
13.8,1.691e+01,9.055e+03,3.031e+01,9.102e+03
15.4,1.823e+01,1.095e+04,3.621e+01,1.101e+04
16.9,2.149e+01,1.417e+04,2.602e+01,1.422e+04
18.4,2.609e+01,1.750e+04,3.383e+01,1.756e+04
20.0,3.475e+01,1.847e+04,6.855e+01,1.858e+04
21.5,4.773e+01,1.885e+04,9.924e+01,1.900e+04
23.0,3.657e+01,2.065e+04,4.930e+01,2.074e+04
24.6,1.791e+01,2.508e+04,2.614e+01,2.512e+04
26.1,1.333e+01,3.478e+04,2.503e+01,3.482e+04
27.7,2.079e+01,4.911e+04,3.354e+01,4.917e+04
29.2,2.394e+01,6.873e+04,9.561e+01,6.885e+04
30.7,2.569e+01,1.065e+05,3.192e+02,1.068e+05
32.3,7.944e+01,1.607e+05,1.062e+03,1.618e+05
33.8,1.556e+02,2.312e+05,1.619e+03,2.330e+05
35.3,3.158e+02,4.479e+05,2.286e+03,4.505e+05
36.9,8.277e+02,7.287e+05,4.148e+03,7.337e+05
38.4,8.069e+02,7.618e+05,5.073e+03,7.677e+05
39.9,6.294e+02,6.371e+05,4.853e+03,6.425e+05
41.5,7.858e+02,4.666e+05,4.441e+03,4.718e+05
43.0,1.256e+03,3.448e+05,4.136e+03,3.502e+05
44.6,2.212e+03,2.608e+05,4.098e+03,2.671e+05
46.1,2.873e+03,1.852e+05,5.168e+03,1.933e+05
47.6,3.388e+03,1.196e+05,7.137e+03,1.301e+05
49.2,6.755e+03,7.523e+04,9.138e+03,9.112e+04
50.7,1.203e+04,4.789e+04,1.032e+04,7.024e+04
52.2,1.009e+04,3.294e+04,1.029e+04,5.333e+04
53.8,4.690e+03,2.510e+04,1.081e+04,4.061e+04
55.3,2.046e+03,2.240e+04,1.218e+04,3.662e+04
56.8,8.312e+02,2.304e+04,1.171e+04,3.558e+04
58.4,2.230e+02,2.943e+04,9.889e+03,3.955e+04
59.9,9.334e+01,4.282e+04,1.036e+04,5.327e+04
61.5,1.124e+02,5.122e+04,1.332e+04,6.466e+04
63.0,8.183e+01,4.713e+04,1.601e+04,6.322e+04
64.5,5.639e+01,3.900e+04,1.361e+04,5.267e+04
66.1,9.745e+01,3.581e+04,8.230e+03,4.413e+04
67.6,1.796e+02,3.661e+04,4.058e+03,4.084e+04
69.1,2.484e+02,3.640e+04,1.820e+03,3.847e+04
70.7,2.795e+02,3.191e+04,8.843e+02,3.307e+04
72.2,3.104e+02,2.512e+04,1.258e+03,2.669e+04
73.7,4.102e+02,1.906e+04,3.106e+03,2.258e+04
75.3,6.439e+02,1.594e+04,7.678e+03,2.426e+04
76.8,9.366e+02,1.498e+04,1.475e+04,3.067e+04
78.4,1.069e+03,1.493e+04,2.386e+04,3.986e+04
79.9,1.105e+03,1.429e+04,3.131e+04,4.671e+04
81.4,9.708e+02,1.154e+04,2.859e+04,4.110e+04
83.0,7.019e+02,8.716e+03,1.973e+04,2.915e+04
84.5,5.037e+02,7.616e+03,1.196e+04,2.008e+04
86.0,3.642e+02,7.693e+03,6.605e+03,1.466e+04
87.6,2.463e+02,8.115e+03,3.333e+03,1.169e+04
89.1,1.526e+02,8.437e+03,1.500e+03,1.009e+04
90.6,9.994e+01,8.543e+03,7.214e+02,9.364e+03
92.2,6.713e+01,8.354e+03,3.499e+02,8.771e+03
93.7,5.394e+01,7.919e+03,2.092e+02,8.183e+03
95.3,5.125e+01,7.309e+03,1.867e+02,7.547e+03
96.8,4.878e+01,6.746e+03,2.032e+02,6.998e+03
98.3,4.057e+01,6.395e+03,2.491e+02,6.684e+03
99.9,3.692e+01,6.082e+03,2.931e+02,6.412e+03
101.4,3.660e+01,5.820e+03,2.901e+02,6.147e+03
102.9,3.194e+01,5.417e+03,2.553e+02,5.704e+03
104.5,3.098e+01,5.065e+03,2.471e+02,5.343e+03
106.0,5.359e+01,4.723e+03,4.907e+02,5.268e+03
107.5,7.198e+01,4.376e+03,6.627e+02,5.111e+03
109.1,3.893e+01,4.000e+03,3.037e+02,4.342e+03
110.6,4.658e+01,3.688e+03,3.571e+02,4.091e+03
112.2,6.684e+01,3.319e+03,4.546e+02,3.840e+03
113.7,8.560e+01,2.917e+03,5.809e+02,3.584e+03
115.2,9.510e+01,2.524e+03,7.341e+02,3.353e+03
116.8,1.185e+02,2.090e+03,8.781e+02,3.087e+03
118.3,1.434e+02,1.644e+03,1.020e+03,2.808e+03
119.8,1.707e+02,1.321e+03,1.170e+03,2.662e+03
121.4,1.854e+02,1.010e+03,1.353e+03,2.548e+03
122.9,2.244e+02,1.051e+03,1.673e+03,2.948e+03
124.4,2.747e+02,1.523e+03,1.813e+03,3.611e+03
126.0,2.850e+02,2.089e+03,1.657e+03,4.030e+03
127.5,2.426e+02,2.476e+03,1.342e+03,4.060e+03
129.1,1.818e+02,2.577e+03,1.020e+03,3.779e+03
130.6,1.316e+02,2.463e+03,7.762e+02,3.371e+03
132.1,9.225e+01,1.984e+03,5.341e+02,2.610e+03
133.7,3.750e+01,5.722e+02,1.595e+02,7.692e+02
135.2,1.893e+01,5.070e+01,3.921e+01,1.088e+02
136.7,1.818e+01,3.741e+01,3.507e+01,9.066e+01
138.3,1.650e+01,4.100e+01,3.370e+01,9.120e+01
139.8,1.555e+01,4.488e+01,3.449e+01,9.493e+01
141.3,1.455e+01,4.473e+01,3.521e+01,9.450e+01
142.9,1.492e+01,4.677e+01,3.540e+01,9.710e+01
144.4,1.456e+01,4.803e+01,3.531e+01,9.790e+01
146.0,1.556e+01,4.656e+01,3.631e+01,9.843e+01
147.5,2.205e+01,4.761e+01,3.880e+01,1.085e+02
149.0,3.308e+01,5.806e+01,4.877e+01,1.399e+02
150.6,4.123e+01,6.799e+01,5.089e+01,1.601e+02
152.1,4.085e+01,6.519e+01,5.368e+01,1.597e+02
153.6,4.290e+01,5.541e+01,5.164e+01,1.499e+02
155.2,5.053e+01,5.260e+01,5.664e+01,1.598e+02
156.7,5.066e+01,4.767e+01,5.876e+01,1.571e+02
158.2,5.164e+01,5.226e+01,6.313e+01,1.670e+02
159.8,4.552e+01,6.876e+01,6.173e+01,1.760e+02
161.3,3.815e+01,8.151e+01,5.162e+01,1.713e+02
162.9,3.612e+01,8.393e+01,5.252e+01,1.726e+02
164.4,3.349e+01,8.821e+01,5.993e+01,1.816e+02
165.9,2.860e+01,9.175e+01,6.150e+01,1.818e+02
167.5,2.848e+01,9.178e+01,5.418e+01,1.744e+02
169.0,2.836e+01,8.214e+01,4.289e+01,1.534e+02
170.5,3.296e+01,7.249e+01,3.754e+01,1.430e+02
172.1,1.567e+02,6.648e+01,5.730e+01,2.805e+02
173.6,3.980e+02,6.274e+01,9.975e+01,5.605e+02
175.1,1.121e+02,5.622e+01,5.369e+01,2.220e+02
176.7,2.571e+01,5.135e+01,3.689e+01,1.139e+02
178.2,3.368e+01,4.994e+01,4.332e+01,1.269e+02
179.8,3.926e+01,4.937e+01,3.904e+01,1.277e+02
181.3,3.806e+01,4.968e+01,3.269e+01,1.204e+02
182.8,3.534e+01,5.246e+01,2.967e+01,1.175e+02
184.4,2.277e+01,5.286e+01,2.706e+01,1.027e+02
185.9,1.731e+01,4.610e+01,2.343e+01,8.684e+01
187.4,1.719e+01,4.094e+01,2.326e+01,8.138e+01
189.0,1.690e+01,4.039e+01,2.483e+01,8.211e+01
190.5,1.645e+01,4.101e+01,2.454e+01,8.200e+01
192.1,1.738e+01,4.020e+01,2.281e+01,8.039e+01
193.6,1.845e+01,3.933e+01,2.608e+01,8.386e+01
195.1,1.894e+01,3.897e+01,3.193e+01,8.983e+01
196.7,1.972e+01,3.794e+01,3.993e+01,9.759e+01
198.2,1.999e+01,3.396e+01,3.919e+01,9.314e+01
199.7,1.918e+01,3.553e+01,3.523e+01,8.994e+01
